,Word,Start_time_combined,End_time_combined,Log_Freq_HAL,WordRate,lex_surprisal_bits,pos_surprisal_bits,phoneme_surprisal_bits
376,skin,164.492993,165.122993,10.126,1,4.39,0.37,5.09
377,thump,165.832993,166.192993,6.652,1,17.01,1.3,11.12
378,thump,166.192993,166.572993,6.652,1,1.47,12.35,9.19
379,thump,166.572993,166.982993,6.652,1,1.08,11.54,12.98
380,replied,166.982993,167.332993,9.513,1,19.97,10.71,11.83
381,the,167.332993,167.402993,16.955,1,4.67,2.25,5.86
382,tail,167.402993,167.832993,9.33,1,9.1,,11.76
383,and,168.592993,168.802993,16.187,1,6.82,7.72,6.88
384,you,168.802993,168.872993,15.431,1,6.5,8.1,8.46
385,haven't,168.872993,169.282993,11.392,1,10.56,9.09,6.63
386,got,169.282993,169.502993,12.615,1,2.81,7.91,3.56
387,a,169.502993,169.552993,16.177,1,0.83,0.92,1.19
388,collar,169.552993,170.282993,8.332,1,11.71,0.02,11.48
389,said,170.652993,170.942993,12.772,1,10.69,5.81,6.99
390,henry,170.942993,171.392993,0,1,4.79,3.83,4.51
391,he,173.639977,173.889977,13.98,1,6.97,,6.36
392,began,173.889977,174.939977,10.609,1,12.56,6.34,11.11
393,to,174.969977,175.139977,16.354,1,1.16,9.12,1.57
394,think,175.139977,176.049977,13.389,1,7.63,10.7,10.43
395,if,177.229977,177.529977,14.653,1,7.03,15.25,4.88
396,only,177.659977,178.439977,13.627,1,8.78,11.88,12.66
397,he,178.469977,178.719977,13.98,1,1.73,7.46,2.22
398,could,178.719977,179.069977,13.208,1,1.01,,1.43
399,keep,179.069977,179.459977,12.122,1,5.56,3.92,5.55
400,the,179.459977,179.679977,16.955,1,2.43,10.52,2.86
401,dog,179.679977,180.179977,10.974,1,0.85,10.39,1.09
402,he,181.119977,181.249977,13.98,1,4.13,3.85,4.48
403,had,181.249977,181.339977,13.532,1,5.9,2.14,8.52
404,always,181.339977,181.649977,12.21,1,9.39,2.01,8.67
405,wanted,181.649977,182.009977,11.434,1,3.44,0.94,4.64
406,a,182.009977,182.059977,16.177,1,2.58,,3.67
407,dog,182.059977,182.349977,10.974,1,2.93,9.51,4.17
408,of,182.349977,182.429977,16.214,1,7.86,1.7,5.7
409,his,182.429977,182.589977,13.644,1,0.45,,0.61
410,very,182.589977,182.899977,13.284,1,10.42,,15.04
411,own,182.899977,183.329977,12.558,1,1.29,,1.71
412,and,183.779977,184.019977,16.187,1,4.34,5.97,5.88
413,now,184.019977,184.319977,13.304,1,3.75,1.46,4.97
414,he,184.319977,184.509977,13.98,1,0.86,11.07,1.06
415,had,184.509977,184.639977,13.532,1,4.27,6.7,4.71
416,found,184.639977,184.989977,12.206,1,6.75,5.45,8.66
417,a,184.989977,185.029977,16.177,1,2.72,,3.76
418,dog,185.029977,185.439977,10.974,1,3.03,0.66,4.25
419,that,185.439977,185.589977,15.476,1,2.72,3.16,3.73
420,wanted,185.589977,185.999977,11.434,1,8.02,2.08,2.82
421,him,185.999977,186.459977,12.818,1,2.3,7.02,2.79
422,he,187.349977,187.539977,13.98,1,4.21,8.72,5.06
423,couldn't,187.539977,187.859977,11.068,1,5.3,12.9,6.14
424,go,187.859977,188.069977,12.923,1,5.52,5.8,4.58
425,home,188.069977,188.399977,12.157,1,2.97,5.97,3.95
426,and,188.399977,188.619977,16.187,1,3.69,10.82,4.7
427,leave,188.619977,188.869977,11.245,1,7.8,4.37,8.19
428,a,188.869977,188.949977,16.177,1,5.86,,7.07
429,hungry,188.949977,189.419977,8.748,1,10.05,0.32,6.92
430,dog,189.419977,189.759977,10.974,1,0.99,9.15,1.4
431,on,189.759977,189.889977,15.079,1,5.32,5.94,7.66
432,the,189.889977,189.949977,16.955,1,0.92,0.13,1.25
433,street,189.949977,190.319977,11.24,1,1.74,,1.65
434,corner,190.319977,190.779977,10.047,1,11.82,8.36,9.67
435,if,191.889977,192.099977,14.653,1,7.1,4.05,7.14
436,only,192.199977,192.559977,13.627,1,1.63,2.1,2.35
437,he,192.559977,192.849977,13.98,1,1,,1.29
438,knew,192.849977,193.079977,10.942,1,6.25,6.44,8.87
